,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1_Expected Annual Damage,A.1_Dike Investment Costs,A.1_Expected Number of Deaths,A.2_Expected Annual Damage,A.2_Dike Investment Costs,A.2_Expected Number of Deaths,A.3_Expected Annual Damage,A.3_Dike Investment Costs,A.3_Expected Number of Deaths,A.4_Expected Annual Damage,A.4_Dike Investment Costs,A.4_Expected Number of Deaths,A.5_Expected Annual Damage,A.5_Dike Investment Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,2,1,0,8,7,3,1,10,8,7,1,9,10,1,0.0,107385518.6904647,0.0,3892257.619468381,177202865.01677424,0.0010501496938392424,0.0,97225532.23215315,0.0,2094331.4391648138,45231774.67353918,0.00029566010359347315,0.0,179239621.39790878,0.0,883600000.0,127.94850025728577
1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,3,10,6,2,0,1,9,7,2,1,8,3,2,0,5,1,0.0,243848372.51695004,0.0,4417472.849346615,131312232.00609401,0.0003959667238076051,0.0,89734451.95909594,0.0,3197367.473042309,37779961.10367436,0.00015245485741182681,338510352.9429765,66294113.011456475,0.026676981101867305,1146000000.0,17270.678131716344
2,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,5,8,5,6,8,1,4,4,7,9,3,5,8,1,10,0.0,227765248.2561342,0.0,0.0,226692975.3372218,0.0,0.0,101380159.06922092,0.0,2426036.0741747115,46147998.25405748,0.0003749378116893025,1555164.0978945522,159941160.57468283,0.00039320798011696916,654200000.0,90.9642339867555
3,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,3,6,3,4,8,5,8,8,7,10,10,1,4,0,8,2,0.0,177198159.8683943,0.0,0.0,284806028.14489746,0.0,0.0,155250726.16549444,0.0,1187086.8946125847,43259737.60104502,6.187043814301032e-05,285362045.9231772,84546876.76859967,0.022310962994614634,741100000.0,14468.705505350239
4,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,9,1,5,2,3,1,8,6,0,2,4,10,8,0,5,0.0,205029742.77600813,0.0,0.0,139228185.5331078,0.0,0.0,78367018.73996717,0.0,49651751.554328896,42638537.45646329,0.005400528201420102,0.0,96451223.62788737,0.0,862300000.0,1416.052381898956
5,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,3,2,4,2,6,10,4,8,0,4,10,5,10,9,3,2,0.0,134005503.41252983,0.0,0.0,279144539.8028431,0.0,0.0,71831046.38693634,0.0,0.0,69616096.59404546,0.0,1555164.0978945522,135456473.7017713,0.00013106932670565639,1184300000.0,72.0854869766239
6,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,10,7,8,2,9,0,4,8,10,9,6,4,9,9,0,0.0,325536058.536425,0.0,0.0,139065708.50843427,0.0,0.0,135224353.01206404,0.0,1187086.8946125847,51223587.79052691,0.000515586984525086,0.0,124982685.11130847,0.0,825700000.0,0.0
7,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,2,0,3,4,10,6,8,5,10,8,7,4,4,10,2,2,0.0,95213987.28559849,0.0,0.0,331083150.15131426,0.0,0.0,142820981.50954568,0.0,2585602.588232029,40558098.97898989,0.00014362821615424574,0.0,138041670.6898331,0.0,796400000.0,111.90097181381134
8,1,0,0,1,1,1,1,0,1,0,1,1,0,1,0,3,4,7,0,6,0,6,0,10,3,10,8,9,8,1,9,0.0,125788764.77143934,0.0,0.0,146841946.52894095,0.0,7060797.830675129,78076271.50241311,0.0011417392675630578,0.0,76145916.63981736,0.0,0.0,153090910.66244215,0.0,1297900000.0,234.9354743559208
9,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,7,3,9,0,3,10,1,4,0,3,10,9,6,6,8,0.0,240958346.82978538,0.0,3825083.162934265,157923303.39354035,0.002823140688274203,0.0,47604893.24040605,0.0,35509514.87657214,59082052.06600729,0.01124878418584641,0.0,162073890.12059945,0.0,997200000.0,0.0
