,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1_Expected Annual Damage,A.1_Dike Investment Costs,A.1_Expected Number of Deaths,A.1_RfR Total Costs,A.1_Expected Evacuation Costs,A.2_Expected Annual Damage,A.2_Dike Investment Costs,A.2_Expected Number of Deaths,A.2_RfR Total Costs,A.2_Expected Evacuation Costs,A.3_Expected Annual Damage,A.3_Dike Investment Costs,A.3_Expected Number of Deaths,A.3_RfR Total Costs,A.3_Expected Evacuation Costs,A.4_Expected Annual Damage,A.4_Dike Investment Costs,A.4_Expected Number of Deaths,A.4_RfR Total Costs,A.4_Expected Evacuation Costs,A.5_Expected Annual Damage,A.5_Dike Investment Costs,A.5_Expected Number of Deaths,A.5_RfR Total Costs,A.5_Expected Evacuation Costs
0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,3,0,0,6,1,2,0,0,0,4,9,2,1,2,0,0,0.0,60717312.84309486,0.0,0,0,0.0,82526679.5239558,0.0,0,0,0.0,26403379.542306438,0.0,0,0,0.0,37212317.051685825,0.0,0,0,0.0,27578229.96765524,0.0,0,0
1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,3,2,1,6,0,1,0,0,0,4,0,0,0,2,3,3,0.0,139379418.20097363,0.0,0,0,1268547.7450180482,38245121.951764055,0.00011267052270878857,0,0,0.0,26403379.542306438,0.0,0,0,132697529.60181159,0.0,0.004236018578918022,0,0,0.0,95943402.46408135,0.0,0,0
2,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,2,0,0,1,1,3,6,0,0,2,7,3,1,1,0,0,0.0,32694901.094161935,0.0,0,0,0.0,163268356.78208596,0.0,0,0,0.0,22167818.198803753,0.0,0,0,309904.0991781617,33801522.61574014,1.7348147560054837e-05,0,0,7285022.91999989,25037214.086173728,0.0007521358387438629,0,0
3,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,2,0,0,0,0,0,1,0,3,2,9,0,0,1,2,4,0.0,0.0,0.0,0,0,2549785.2270508893,38245121.951764055,0.0002843382486688724,0,0,0.0,48716867.66610375,0.0,0,0,0.0,18144080.211109996,0.0,0,0,11183862.182119418,90474756.05908874,0.0011542548293074167,0,0
4,1,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,3,3,6,0,2,0,8,1,0,2,0,0,0.0,66507014.9338145,0.0,0,0,0.0,181556219.26377252,0.0,0,0,2411475.936639284,22167818.198803753,0.0012000762441668512,0,0,0.0,24379010.0,0.0,0,0,6257853.603964469,27578229.96765524,0.0015678537228038247,0,0
5,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,2,0,1,1,1,0,0,0,3,0,0,0,0,2,2,4,0.0,66507014.9338145,0.0,0,0,0.0,38245121.951764055,0.0,0,0,0.0,24198032.45136138,0.0,0,0,166995588.219195,0.0,0.006836676745033281,0,0,0.0,95251828.74083912,0.0,0,0
6,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,8,0,0,2,3,3,0.0,66507014.9338145,0.0,0,0,0.0,38245121.951764055,0.0,0,0,0.0,0.0,0.0,0,0,1062003.7080312567,16108916.742160894,0.00015652442931899735,0,0,0.0,95943402.46408135,0.0,0,0
7,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,3,0,2,3,0,1,0,3,0,0,1,0,0,0,0,3,0.0,82486364.32617709,0.0,0,0,1271720.179271746,38245121.951764055,0.00011320291108816866,0,0,0.0,24198032.45136138,0.0,0,0,211907172.74005768,6320800.309666242,0.007716274164431569,0,0,0.0,30351526.042379983,0.0,0,0
8,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,2,1,1,3,1,3,3,0,0,1,7,1,0,1,0,0,0.0,111738176.02288951,0.0,0,0,0.0,142447532.22446764,0.0,0,0,0.0,20299287.62732069,0.0,0,0,309904.0991781617,22258486.725668453,1.7348147560054837e-05,0,0,7285022.91999989,25037214.086173728,0.0007521358387438629,0,0
9,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,2,2,0,0,0,0,1,0,0,3,9,0,0,2,2,0,0.0,37255203.23710208,0.0,0,0,623447.4067377882,38245121.951764055,6.900950627127484e-05,0,0,0.0,24198032.45136138,0.0,0,0,0.0,18144080.211109996,0.0,0,0,2310450.6619766336,57073405.013273194,0.00024089792580247945,0,0
