A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,EWS_DaysToThreat,scenario,policy,model
7,201.50193264853388,1.0,0.27327815763650165,294.7472563267692,10.0,0.7918603603254438,294.9503240871148,1.0,0.059974925786667736,240.37288391044217,1.0,0.6702246173586394,342.82885452565625,1.5,0.5450053539027584,1.5,4.5,3.5,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,5,6,5,4,10,0,6,0,6,5,1,2,1,10,10,2,100,0,dikesnet
107,340.86018423070095,1.5,0.9873428915041469,193.60012719712864,1.0,0.7182455744296904,329.5973307528437,10.0,0.32064559809041393,30.40261149143415,1.0,0.0033769881889762388,106.21789272932142,1.0,0.02352323951685891,4.5,2.5,1.5,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,5,6,5,4,10,0,6,0,6,5,1,2,1,10,10,2,101,0,dikesnet
54,289.5777853612648,1.5,0.3035324856501115,147.20398635098525,1.5,0.4489109359429436,175.30189968490666,1.0,0.16423464624009235,189.5547652412269,1.0,0.12448772102488401,43.39205800714241,10.0,0.590845176494441,2.5,2.5,4.5,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,5,6,5,4,10,0,6,0,6,5,1,2,1,10,10,2,102,0,dikesnet
44,129.456946290892,1.5,0.38051891817299793,233.74467766323576,1.0,0.4351213372882973,235.43933225701747,10.0,0.7643392306979531,245.9962593497734,1.5,0.23913502075606524,151.23867694760406,1.0,0.7795370176351274,3.5,4.5,4.5,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,5,6,5,4,10,0,6,0,6,5,1,2,1,10,10,2,103,0,dikesnet
39,38.95500702245159,1.5,0.3434152781161962,64.10405458054764,1.0,0.6232851027188454,118.94443340546835,1.0,0.06064075699428631,180.69879084670978,1.5,0.31313677593790257,62.25313226463835,1.0,0.5278274603570536,4.5,4.5,3.5,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,5,6,5,4,10,0,6,0,6,5,1,2,1,10,10,2,104,0,dikesnet
125,117.37403186341876,1.5,0.6378191257730833,286.0001824916525,10.0,0.5759283566547592,47.79286828751872,10.0,0.2661364549183835,99.16650239704627,10.0,0.9315165372809227,242.88699415289722,1.5,0.472594516728025,2.5,3.5,4.5,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,5,6,5,4,10,0,6,0,6,5,1,2,1,10,10,2,105,0,dikesnet
98,157.42627758665049,1.5,0.08808513516359136,153.4297129030953,1.5,0.7572100051277102,34.324218285411675,10.0,0.901861566810323,197.2873739918795,10.0,0.9410029128442394,132.2666863505059,1.5,0.1335529175278426,2.5,2.5,3.5,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,5,6,5,4,10,0,6,0,6,5,1,2,1,10,10,2,106,0,dikesnet
120,63.79796076233967,1.5,0.5436711868297297,101.87821707195309,10.0,0.27180547252924614,185.10767244600882,1.5,0.08329060939473613,94.35109082783049,1.0,0.47241556534639945,133.49173183323992,1.5,0.7686004975414201,4.5,4.5,4.5,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,5,6,5,4,10,0,6,0,6,5,1,2,1,10,10,2,107,0,dikesnet
110,243.82062527907868,10.0,0.22396422572602423,206.87208474769955,1.0,0.29869931578699427,295.60622051255774,1.5,0.3450519312587413,214.24550554371473,1.0,0.6459264246215036,303.50207583889465,1.0,0.5106399837849391,2.5,4.5,3.5,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,5,6,5,4,10,0,6,0,6,5,1,2,1,10,10,2,108,0,dikesnet
116,161.05195262891698,10.0,0.03766793184899167,82.53893568921538,10.0,0.3802691079180947,283.92462967910444,1.5,0.6922241817957654,204.31109250446264,10.0,0.7735053643065668,48.73965127731246,1.5,0.27755662564072703,1.5,3.5,1.5,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,5,6,5,4,10,0,6,0,6,5,1,2,1,10,10,2,109,0,dikesnet
